SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
533292,A2ZMES      ,B ,Q,115.4,118.45,111.9,112.4,112.4,114.4,1926,123724,14237541,
530027,AADI INDUS L,B ,Q,5.07,5.29,5.02,5.1,5.15,5.27,85,64349,324351,
533412,AANJANEYA   ,B ,Q,522,529.5,506.3,510.8,510.8,531.25,345,52351,27248303,
524412,AAREY DRUGS ,B ,Q,15.8,16,15.28,15.69,15.69,15.07,39,5616,88421,
524348,AARTI DRUGS ,B ,Q,107.25,114.9,107.25,111.6,111.6,109.15,135,3303,368535,
524208,AARTI INDUST,B ,Q,65.4,66.5,65.4,65.8,65.8,65.4,160,16673,1100683,
514274,AARVEE DENIM,B ,Q,36.6,41.35,34.1,35.5,35.4,34.55,136,521,18680,
523204,ABAN OFFSHO ,B ,Q,431,443,424,426.35,426.35,429.65,6261,197112,85645737,
700099,ABANOFFSH   ,B ,P,516,516,345.15,345.15,345.15,430,2,10,4305,
500002,ABB LTD.    ,A ,Q,838.55,850,825.05,829.45,829.45,835.95,526,8438,7067858,
500488,ABBOTT (I)  ,B ,Q,1660.05,1763.2,1650,1711.95,1711.95,1644,1904,16488,28475953,
520123,ABC INDIA   ,B ,Q,122,123,121.6,122.45,123,124.95,6,9130,1117859,
532937,ABC PAPER   ,T ,Q,29,29,29,29,29,28.9,2,100,2900,
500057,ABCIL       ,B ,Q,81.9,82,80,81.45,81.5,80.8,54,3655,296375,
520155,ABG INFRALOG,B ,Q,194,195.95,189,190.75,195.95,196.8,37,1326,255310,
532682,ABG SHIPYARD,B ,Q,390,391,384,385.45,386.95,389.65,263,5446,2112251,
532831,ABHI CORP LT,B ,Q,7.65,8.05,7.6,7.9,8,7.65,27,5695,45062,
526955,ABL BIO-TECH,B ,Q,5.13,5.54,5.13,5.46,5.5,5.33,16,3535,19068,
531161,ABM KNOWLEDG,B ,Q,81,83.9,80.05,83.9,83.9,81.35,6,1151,92236,
532974,ABML        ,B ,Q,14.31,14.41,14.3,14.4,14.4,15,15,1140,16410,
500410,ACC LTD     ,A ,Q,1286,1304,1254.2,1259.65,1259.65,1276.75,1624,23182,29682952,
532774,ACCEL FRONTL,B ,Q,36.1,36.1,34,34.45,34.45,35.4,41,2391,81807,
517494,ACCEL TRANS ,B ,Q,10.21,10.85,10.1,10.1,10.1,10.9,6,1610,17024,
531897,ACCENT TECH ,B ,Q,68,69,66.05,66.7,66.7,68,70,10554,716226,
530513,ACCURATE TRA,T ,Q,48,50.95,48,48.1,50.95,49.2,7,826,39652,
530093,ACE INDIA LT,B ,Q,19.85,19.85,19.85,19.85,19.85,18.95,1,50,992,
517356,ACI INFOCOM ,T ,Q,78.8,82.9,78.8,79,79,82.9,30,19125,1514569,
530901,ACIL        ,B ,Q,0.34,0.34,0.34,0.34,0.34,0.33,25,59419,20202,
530043,ACKNIT IND  ,B ,Q,24.1,24.8,23.55,23.85,23.85,24.75,30,9909,235359,
533330,ACROPET TEC ,B ,Q,14,14.55,14,14.32,14.32,14.38,168,23962,344433,
524091,ACRYCIL LTD.,B ,Q,95,96.05,95,95.7,95.2,97.95,6,177,16938,
532762,ACTION CONST,B ,Q,31.5,31.9,31.1,31.7,31.6,31.2,78,3380,107250,
511706,ACTION FIN. ,T ,Q,38.5,38.5,38.5,38.5,38.5,37.5,1,1,38,
512599,ADANI ENTER ,A ,Q,312.6,317.9,301,303.45,303.45,310,5433,250679,77716675,
532921,ADANI PORTS ,A ,Q,128.65,130.95,127,129.9,129.9,128.65,978,91915,11944462,
533096,ADANI POWER ,A ,Q,71.7,72.7,69.25,69.85,69.85,71.45,3451,495698,35264115,
523411,ADCINDIA    ,B ,Q,143.85,143.85,137.5,137.9,137.5,140,24,327,45492,
519183,ADF FOODS LT,B ,Q,49,50.7,49,49.35,50.25,49.85,55,321,15829,
532727,ADHUNIK MET ,B ,Q,43.5,44.05,42.3,42.55,42.3,43.15,395,28266,1223344,
500303,ADI BIR NUVO,A ,Q,975,985,951.85,958.15,958.15,968.9,475,7823,7592394,
530117,ADIFINCHM   ,B ,Q,64.85,69.8,60.15,68.5,68.5,63.5,76,25280,1711641,
590088,ADINATH BIO ,B ,Q,0.97,1.07,0.97,1.05,1.07,1.01,27,19954,20761,
513513,ADITYA ISPAT,B ,Q,6.31,6.35,6.2,6.26,6.2,6.69,6,907,5697,
511359,AD-MANUM FIN,B ,Q,27.35,28,27.35,27.6,28,27.45,8,1293,35699,
530431,ADOR FONTECH,B ,Q,90.3,92,90,91.55,91.3,90.9,43,6478,587248,
523120,ADOR MULTI. ,B ,Q,16.2,16.2,15.6,15.65,15.65,16.2,4,221,3518,
517041,ADORWELDING ,B ,Q,135,139.4,133.05,133.3,133.3,134.25,106,2214,300229,
512149,ADVANCE TECH,B ,Q,0.29,0.29,0.28,0.28,0.28,0.28,344,7388842,2122190,
517552,ADVANCED MIC,B ,Q,33,34.2,32.3,33.35,34,34.25,6,684,22515,
523269,ADVANI HOTEL,B ,Q,33.45,33.45,33.45,33.45,33.45,32,1,5,167,
532840,ADVANTA     ,B ,Q,473.7,477.65,458,462.1,462.1,467.45,967,20377,9567849,
531429,ADVENT COMP.,B ,Q,2.4,2.4,2.21,2.21,2.21,2.32,9,3691,8265,
531686,ADVIK LABORS,B ,Q,3.32,3.6,3.25,3.26,3.26,3.32,13,6102,21018,
500003,AEGIS LOGIS ,B ,Q,152,152.75,148.1,148.65,148.3,150.9,129,4942,741734,
503655,AEONIAN PUB ,B ,Q,102.6,102.6,102.6,102.6,102.6,104.1,1,10,1026,
530707,AFTEK LTD   ,B ,Q,10.8,11.8,10.8,11.05,11.05,11.63,850,385504,4354861,
531921,AGAR IND COR,B ,Q,107.15,107.15,101,101.1,101.1,102.05,224,29112,3062713,
503675,AGARWAL HOLD,T ,Q,231,231.35,231,231.3,231.3,229.3,90,62700,14495215,
500463,AGCNET      ,B ,Q,185.95,186,178.1,180.1,183,182.8,53,420,76948,
533296,AGRE DEVELO ,B ,Q,31.6,31.6,27.3,29.4,29.4,30.9,21,847,25970,
519281,AGRO DUTCH I,B ,Q,5.5,5.5,5.02,5.05,5.05,5.03,84,9101,46811,
500215,AGRO TECH FO,B ,Q,458.95,465,448,451,452.15,449.5,191,4919,2243677,
533314,AGS INFO    ,T ,Q,49.4,49.6,44.95,49.6,49.6,47.25,105,19975,952443,
524448,AHLCON PAREN,T ,Q,424,424,421,421.4,421.4,421.2,59,24951,10514306,
532811,AHLUWALIA CO,B ,Q,66.6,67.5,66,66.3,66.05,67,96,3056,203569,
513335,AHMED.FORG  ,B ,Q,174.15,183.4,174,181.15,181.15,175.25,233,31361,5627621,
522273,AHMED.STEEL ,B ,Q,15.4,15.4,15.35,15.35,15.35,16,8,10483,160964,
532806,AI CHAMPDNY ,T ,Q,20.4,20.45,20.4,20.45,20.45,19.5,2,250,5107,
532683,AIAENGINEER ,B ,Q,364.95,364.95,353.2,360,360.95,358,130,2614,932397,
524288,AIMCO PESTI.,B ,Q,6.45,6.95,6.4,6.85,6.95,6.95,12,4537,30161,
534064,AIML        ,B ,Q,54.15,54.15,54.15,54.15,54.15,51.6,1,100,5415,
532975,AISHWARYA TE,T ,Q,9.6,9.9,9.05,9.72,9.6,9.45,26,24809,237882,
532331,AJANTA PHARM,B ,Q,520.15,523.8,508.1,513,513,517.2,467,7017,3620555,
519216,AJANTA SOYA ,B ,Q,10.37,10.37,9.78,9.78,9.78,10.19,5,304,2997,
511692,AJCON GLOBAL,B ,Q,15,15.4,14.35,15.4,15.4,14.95,56,13183,198472,
513349,AJMERA      ,B ,Q,118.4,120.9,115.05,116.4,115.6,118.6,83,2852,336980,
530621,AKAR TOOLS L,B ,Q,27.45,27.45,24.9,25.45,25.75,25.8,146,46777,1180883,
531838,AKL SOFT INF,T ,Q,3.13,3.43,3.11,3.39,3.39,3.27,17,28087,92236,
532351,AKSH OPTIFIB,T ,Q,15.1,15.7,14.8,15.45,15.45,15.24,319,189602,2911293,
524598,AKSHARCHEM I,B ,Q,19.1,20.05,19,19,19,19.1,3,30,589,
500710,AKZOINDIA   ,B ,Q,871,874.7,845,858.9,858.9,863.2,674,6532,5635794,
524075,ALBERT DAVID,B ,Q,85.4,86,85,85.1,85,85.25,22,478,40765,
506230,ALBR & WILSO,B ,Q,372,384.65,370,381.05,383,369,44,2128,802942,
531409,ALCH CORP   ,T ,Q,9.45,9.45,9.45,9.45,9.45,9,1,1,9,
526707,ALCHEMIST LT,B ,Q,68,69.1,67.15,67.8,68.4,67.45,55,2125,145111,
533573,ALEM PHARMA ,B ,Q,54.5,57.75,54.2,56.85,56.85,54.2,2148,244211,13736243,
506235,ALEMBIC LTD.,B ,Q,17.25,17.45,16.6,16.7,16.85,17.1,140,22417,382304,
530973,ALFA ICA (I),B ,Q,8.26,8.26,8.26,8.26,8.26,7.87,2,200,1652,
517546,ALFA TRANSFO,B ,Q,25.4,26,24.2,24.6,24.45,23.65,16,848,21410,
505216,ALFRED HERB ,B ,Q,213.5,217.5,213.5,217.5,217.5,218,2,46,9901,
