SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
533022,20 MICRONS  ,B ,Q,82.00,82.70,81.00,81.45,81.10,81.75,536,98935,8092324.00,
526921,21ST CEN.MGM,T ,Q,8.23,9.09,8.23,9.08,9.09,8.66,29,10750,94761.00,
532628,3I INFOTECH ,B ,Q,16.10,16.30,15.50,15.55,15.55,15.95,939,451065,7164785.00,
523395,3M INDIA LTD,B ,Q,4390.00,4529.00,4315.00,4373.50,4350.00,4365.25,259,1514,6622068.00,
961743,793REC22    ,F ,B,994.90,1005.00,994.45,1004.29,1005.00,993.71,38,3852,3860278.00,
590116,7SEAS TECH  ,B ,Q,36.10,38.00,36.10,37.80,37.70,36.35,20,3440,127696.00,
961732,810IRFC2327 ,F ,B,1005.00,1025.00,1003.00,1006.84,1007.95,1003.48,131,27408,27569789.00,
961744,812REC27    ,F ,B,992.80,996.50,989.80,994.01,994.90,989.70,450,67635,67281006.00,
961727,820NHAI22   ,F ,B,1029.00,1054.00,1029.00,1038.95,1037.80,1035.27,30,1374,1427642.00,
961729,820PFC2022  ,F ,B,1022.05,1040.00,1022.05,1038.37,1035.13,1029.71,44,2405,2489209.00,
961728,830NHAI27   ,F ,B,1039.00,1040.00,1035.00,1037.98,1037.98,1038.27,38,20410,21221451.00,
961730,830PFC2027  ,F ,B,1025.00,1028.50,1022.15,1024.98,1024.80,1022.00,218,42421,43451529.00,
961731,8IRFC230222 ,F ,B,991.00,1030.00,991.00,1020.00,1020.00,1020.00,13,432,443989.00,
512161,8KMILES     ,T ,Q,51.60,56.85,51.60,53.05,51.85,54.30,84,10784,565915.00,
530499,A.K.CAPITAL ,B ,Q,158.00,159.50,158.00,159.45,159.50,157.95,17,991,156774.00,
500009,A.SARABHAI  ,B ,Q,4.10,4.31,4.10,4.30,4.31,4.10,19,6855,28463.00,
533292,A2ZMES      ,B ,Q,115.40,118.45,111.90,112.40,112.40,114.40,1926,123724,14237541.00,
530027,AADI INDUS L,B ,Q,5.07,5.29,5.02,5.10,5.15,5.27,85,64349,324351.00,
533412,AANJANEYA   ,B ,Q,522.00,529.50,506.30,510.80,510.80,531.25,345,52351,27248303.00,
524412,AAREY DRUGS ,B ,Q,15.80,16.00,15.28,15.69,15.69,15.07,39,5616,88421.00,
524348,AARTI DRUGS ,B ,Q,107.25,114.90,107.25,111.60,111.60,109.15,135,3303,368535.00,
524208,AARTI INDUST,B ,Q,65.40,66.50,65.40,65.80,65.80,65.40,160,16673,1100683.00,
514274,AARVEE DENIM,B ,Q,36.60,41.35,34.10,35.50,35.40,34.55,136,521,18680.00,
523204,ABAN OFFSHO ,B ,Q,431.00,443.00,424.00,426.35,426.35,429.65,6261,197112,85645737.00,
700099,ABANOFFSH   ,B ,P,516.00,516.00,345.15,345.15,345.15,430.00,2,10,4305.00,
500002,ABB LTD.    ,A ,Q,838.55,850.00,825.05,829.45,829.45,835.95,526,8438,7067858.00,
500488,ABBOTT (I)  ,B ,Q,1660.05,1763.20,1650.00,1711.95,1711.95,1644.00,1904,16488,28475953.00,
520123,ABC INDIA   ,B ,Q,122.00,123.00,121.60,122.45,123.00,124.95,6,9130,1117859.00,
532937,ABC PAPER   ,T ,Q,29.00,29.00,29.00,29.00,29.00,28.90,2,100,2900.00,
500057,ABCIL       ,B ,Q,81.90,82.00,80.00,81.45,81.50,80.80,54,3655,296375.00,
520155,ABG INFRALOG,B ,Q,194.00,195.95,189.00,190.75,195.95,196.80,37,1326,255310.00,
532682,ABG SHIPYARD,B ,Q,390.00,391.00,384.00,385.45,386.95,389.65,263,5446,2112251.00,
532831,ABHI CORP LT,B ,Q,7.65,8.05,7.60,7.90,8.00,7.65,27,5695,45062.00,
526955,ABL BIO-TECH,B ,Q,5.13,5.54,5.13,5.46,5.50,5.33,16,3535,19068.00,
531161,ABM KNOWLEDG,B ,Q,81.00,83.90,80.05,83.90,83.90,81.35,6,1151,92236.00,
532974,ABML        ,B ,Q,14.31,14.41,14.30,14.40,14.40,15.00,15,1140,16410.00,
500410,ACC LTD     ,A ,Q,1286.00,1304.00,1254.20,1259.65,1259.65,1276.75,1624,23182,29682952.00,
532774,ACCEL FRONTL,B ,Q,36.10,36.10,34.00,34.45,34.45,35.40,41,2391,81807.00,
517494,ACCEL TRANS ,B ,Q,10.21,10.85,10.10,10.10,10.10,10.90,6,1610,17024.00,
531897,ACCENT TECH ,B ,Q,68.00,69.00,66.05,66.70,66.70,68.00,70,10554,716226.00,
530513,ACCURATE TRA,T ,Q,48.00,50.95,48.00,48.10,50.95,49.20,7,826,39652.00,
530093,ACE INDIA LT,B ,Q,19.85,19.85,19.85,19.85,19.85,18.95,1,50,992.00,
517356,ACI INFOCOM ,T ,Q,78.80,82.90,78.80,79.00,79.00,82.90,30,19125,1514569.00,
530901,ACIL        ,B ,Q,0.34,0.34,0.34,0.34,0.34,0.33,25,59419,20202.00,
530043,ACKNIT IND  ,B ,Q,24.10,24.80,23.55,23.85,23.85,24.75,30,9909,235359.00,
533330,ACROPET TEC ,B ,Q,14.00,14.55,14.00,14.32,14.32,14.38,168,23962,344433.00,
524091,ACRYCIL LTD.,B ,Q,95.00,96.05,95.00,95.70,95.20,97.95,6,177,16938.00,
532762,ACTION CONST,B ,Q,31.50,31.90,31.10,31.70,31.60,31.20,78,3380,107250.00,
511706,ACTION FIN. ,T ,Q,38.50,38.50,38.50,38.50,38.50,37.50,1,1,38.00,
512599,ADANI ENTER ,A ,Q,312.60,317.90,301.00,303.45,303.45,310.00,5433,250679,77716675.00,
532921,ADANI PORTS ,A ,Q,128.65,130.95,127.00,129.90,129.90,128.65,978,91915,11944462.00,
533096,ADANI POWER ,A ,Q,71.70,72.70,69.25,69.85,69.85,71.45,3451,495698,35264115.00,
523411,ADCINDIA    ,B ,Q,143.85,143.85,137.50,137.90,137.50,140.00,24,327,45492.00,
519183,ADF FOODS LT,B ,Q,49.00,50.70,49.00,49.35,50.25,49.85,55,321,15829.00,
532727,ADHUNIK MET ,B ,Q,43.50,44.05,42.30,42.55,42.30,43.15,395,28266,1223344.00,
500303,ADI BIR NUVO,A ,Q,975.00,985.00,951.85,958.15,958.15,968.90,475,7823,7592394.00,
530117,ADIFINCHM   ,B ,Q,64.85,69.80,60.15,68.50,68.50,63.50,76,25280,1711641.00,
590088,ADINATH BIO ,B ,Q,0.97,1.07,0.97,1.05,1.07,1.01,27,19954,20761.00,
513513,ADITYA ISPAT,B ,Q,6.31,6.35,6.20,6.26,6.20,6.69,6,907,5697.00,
511359,AD-MANUM FIN,B ,Q,27.35,28.00,27.35,27.60,28.00,27.45,8,1293,35699.00,
530431,ADOR FONTECH,B ,Q,90.30,92.00,90.00,91.55,91.30,90.90,43,6478,587248.00,
523120,ADOR MULTI. ,B ,Q,16.20,16.20,15.60,15.65,15.65,16.20,4,221,3518.00,
517041,ADORWELDING ,B ,Q,135.00,139.40,133.05,133.30,133.30,134.25,106,2214,300229.00,
512149,ADVANCE TECH,B ,Q,0.29,0.29,0.28,0.28,0.28,0.28,344,7388842,2122190.00,
517552,ADVANCED MIC,B ,Q,33.00,34.20,32.30,33.35,34.00,34.25,6,684,22515.00,
523269,ADVANI HOTEL,B ,Q,33.45,33.45,33.45,33.45,33.45,32.00,1,5,167.00,
532840,ADVANTA     ,B ,Q,473.70,477.65,458.00,462.10,462.10,467.45,967,20377,9567849.00,
531429,ADVENT COMP.,B ,Q,2.40,2.40,2.21,2.21,2.21,2.32,9,3691,8265.00,
531686,ADVIK LABORS,B ,Q,3.32,3.60,3.25,3.26,3.26,3.32,13,6102,21018.00,
500003,AEGIS LOGIS ,B ,Q,152.00,152.75,148.10,148.65,148.30,150.90,129,4942,741734.00,
503655,AEONIAN PUB ,B ,Q,102.60,102.60,102.60,102.60,102.60,104.10,1,10,1026.00,
530707,AFTEK LTD   ,B ,Q,10.80,11.80,10.80,11.05,11.05,11.63,850,385504,4354861.00,
531921,AGAR IND COR,B ,Q,107.15,107.15,101.00,101.10,101.10,102.05,224,29112,3062713.00,
503675,AGARWAL HOLD,T ,Q,231.00,231.35,231.00,231.30,231.30,229.30,90,62700,14495215.00,
500463,AGCNET      ,B ,Q,185.95,186.00,178.10,180.10,183.00,182.80,53,420,76948.00,
533296,AGRE DEVELO ,B ,Q,31.60,31.60,27.30,29.40,29.40,30.90,21,847,25970.00,
519281,AGRO DUTCH I,B ,Q,5.50,5.50,5.02,5.05,5.05,5.03,84,9101,46811.00,
500215,AGRO TECH FO,B ,Q,458.95,465.00,448.00,451.00,452.15,449.50,191,4919,2243677.00,
533314,AGS INFO    ,T ,Q,49.40,49.60,44.95,49.60,49.60,47.25,105,19975,952443.00,
524448,AHLCON PAREN,T ,Q,424.00,424.00,421.00,421.40,421.40,421.20,59,24951,10514306.00,
532811,AHLUWALIA CO,B ,Q,66.60,67.50,66.00,66.30,66.05,67.00,96,3056,203569.00,
513335,AHMED.FORG  ,B ,Q,174.15,183.40,174.00,181.15,181.15,175.25,233,31361,5627621.00,
522273,AHMED.STEEL ,B ,Q,15.40,15.40,15.35,15.35,15.35,16.00,8,10483,160964.00,
532806,AI CHAMPDNY ,T ,Q,20.40,20.45,20.40,20.45,20.45,19.50,2,250,5107.00,
532683,AIAENGINEER ,B ,Q,364.95,364.95,353.20,360.00,360.95,358.00,130,2614,932397.00,
524288,AIMCO PESTI.,B ,Q,6.45,6.95,6.40,6.85,6.95,6.95,12,4537,30161.00,
534064,AIML        ,B ,Q,54.15,54.15,54.15,54.15,54.15,51.60,1,100,5415.00,
532975,AISHWARYA TE,T ,Q,9.60,9.90,9.05,9.72,9.60,9.45,26,24809,237882.00,
532331,AJANTA PHARM,B ,Q,520.15,523.80,508.10,513.00,513.00,517.20,467,7017,3620555.00,
519216,AJANTA SOYA ,B ,Q,10.37,10.37,9.78,9.78,9.78,10.19,5,304,2997.00,
511692,AJCON GLOBAL,B ,Q,15.00,15.40,14.35,15.40,15.40,14.95,56,13183,198472.00,
513349,AJMERA      ,B ,Q,118.40,120.90,115.05,116.40,115.60,118.60,83,2852,336980.00,
530621,AKAR TOOLS L,B ,Q,27.45,27.45,24.90,25.45,25.75,25.80,146,46777,1180883.00,
531838,AKL SOFT INF,T ,Q,3.13,3.43,3.11,3.39,3.39,3.27,17,28087,92236.00,
532351,AKSH OPTIFIB,T ,Q,15.10,15.70,14.80,15.45,15.45,15.24,319,189602,2911293.00,
524598,AKSHARCHEM I,B ,Q,19.10,20.05,19.00,19.00,19.00,19.10,3,30,589.00,
500710,AKZOINDIA   ,B ,Q,871.00,874.70,845.00,858.90,858.90,863.20,674,6532,5635794.00,
524075,ALBERT DAVID,B ,Q,85.40,86.00,85.00,85.10,85.00,85.25,22,478,40765.00,
506230,ALBR & WILSO,B ,Q,372.00,384.65,370.00,381.05,383.00,369.00,44,2128,802942.00,
531409,ALCH CORP   ,T ,Q,9.45,9.45,9.45,9.45,9.45,9.00,1,1,9.00,
526707,ALCHEMIST LT,B ,Q,68.00,69.10,67.15,67.80,68.40,67.45,55,2125,145111.00,
533573,ALEM PHARMA ,B ,Q,54.50,57.75,54.20,56.85,56.85,54.20,2148,244211,13736243.00,
506235,ALEMBIC LTD.,B ,Q,17.25,17.45,16.60,16.70,16.85,17.10,140,22417,382304.00,
530973,ALFA ICA (I),B ,Q,8.26,8.26,8.26,8.26,8.26,7.87,2,200,1652.00,
517546,ALFA TRANSFO,B ,Q,25.40,26.00,24.20,24.60,24.45,23.65,16,848,21410.00,
505216,ALFRED HERB ,B ,Q,213.50,217.50,213.50,217.50,217.50,218.00,2,46,9901.00,
531147,ALICON      ,B ,Q,61.00,62.00,60.00,60.00,60.00,60.50,4,263,16080.00,
530889,ALKA INDIA  ,B ,Q,0.20,0.21,0.19,0.20,0.20,0.19,39,58548,11710.00,
532166,ALKA SECUR. ,T ,Q,0.46,0.46,0.46,0.46,0.46,0.45,1,1,0.00,
533029,ALKALI      ,B ,Q,31.50,32.00,30.60,31.20,30.60,31.00,83,1330,40957.00,
506767,ALKYL AMINES,B ,Q,95.95,95.95,85.00,87.70,87.75,86.75,21,275,23815.00,
532480,ALLAHABAD BK,A ,Q,193.40,194.45,184.20,185.30,185.30,192.25,3038,175754,33238238.00,
532749,ALLCARGO    ,B ,Q,132.85,132.85,125.00,128.15,128.60,128.70,51,1015,130167.00,
532919,ALLIED COMP ,T ,Q,3.50,3.50,3.29,3.40,3.40,3.42,416,409625,1392871.00,
532875,ALLIED DIGIT,B ,Q,26.00,30.30,26.00,28.15,28.65,30.10,443,46570,1360657.00,
532633,ALLSEC TECH ,B ,Q,11.50,12.79,11.50,12.30,12.30,12.53,24,5548,66455.00,
511589,ALMONDZ CMS ,B ,Q,9.45,9.45,9.45,9.45,9.45,9.00,1,10,94.00,
