SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
519136,NAHAR INDUST,B ,Q,32.65,33.00,31.20,31.25,31.25,32.80,24,1383,44186.00,
500296,NAHAR SPG.  ,B ,Q,50.00,50.00,48.50,48.95,48.95,48.90,75,18149,887656.00,
521030,NAKODA      ,B ,Q,10.00,10.03,9.30,9.33,9.36,9.74,170,78191,756664.00,
531212,NALIN LEASE ,T ,Q,13.00,13.00,12.70,12.70,12.70,13.31,3,400,5110.00,
532256,NALWA SONS  ,T ,Q,720.20,775.00,720.00,750.20,750.20,750.15,46,806,602717.00,
532641,NANDAN EXIM ,B ,Q,23.55,23.70,22.50,23.05,23.05,23.70,49,10619,246880.00,
531416,NARENDRA PRO,B ,Q,15.98,16.00,15.98,16.00,16.00,15.25,3,450,7196.00,
526739,NARMADA GEL ,B ,Q,94.00,94.30,90.60,91.40,90.60,95.05,7,1140,106424.00,
513179,NAT STL AGRO,B ,Q,15.00,15.35,14.86,15.02,15.00,15.12,34,3585,54126.00,
532234,NAT.ALUM    ,A ,Q,58.00,60.90,57.90,59.20,59.20,59.05,2366,147821,8835146.00,
500298,NAT.PEROXIDE,B ,Q,397.25,405.35,397.00,405.05,405.05,403.00,32,1278,514059.00,
526616,NAT.PLASTIC ,B ,Q,11.70,12.75,11.70,12.39,12.42,12.98,28,3456,42199.00,
524816,NATCO PHARM ,B ,Q,356.95,369.90,353.00,356.25,356.25,356.95,877,18736,6758388.00,
502407,NATH PULP   ,B ,Q,2.60,3.20,2.60,3.15,3.20,3.12,23,2252,6753.00,
526576,NATH SEEDS  ,B ,Q,7.60,7.74,7.41,7.41,7.41,7.87,19,1893,14340.00,
523630,NATIONAL FER,B ,Q,75.55,77.75,75.15,76.05,76.05,76.95,439,23910,1833879.00,
524654,NATURAL CAPS,T ,Q,41.50,43.00,41.10,43.00,43.00,43.25,8,977,40229.00,
513023,NAV BHAR VEN,B ,Q,203.30,206.95,203.20,204.95,203.25,207.30,105,3744,767301.00,
532504,NAVIN FLUORI,B ,Q,351.00,357.00,351.00,353.25,355.00,354.65,128,2857,1010633.00,
508989,NAVNEET PUBL,B ,Q,58.95,59.90,58.95,59.25,59.25,59.50,109,505546,30079457.00,
500294,NCC         ,B ,Q,53.05,55.30,52.50,53.40,53.40,53.65,1597,156837,8456746.00,
531452,NCC FINANCE ,B ,Q,2.05,2.05,2.05,2.05,2.05,1.96,1,500,1025.00,
530557,NCL RESEARCH,T ,Q,227.85,227.85,227.85,227.85,227.85,217.00,4,398,90684.00,
511535,NDA SECURIT.,B ,Q,19.00,19.00,19.00,19.00,19.00,19.00,2,90,1710.00,
532529,NDTV        ,B ,Q,46.00,49.00,45.05,46.00,46.00,46.70,1215,90597,4302268.00,
532649,NECTAR LIFE ,B ,Q,22.90,23.35,22.50,22.55,22.65,22.90,191,11797,267760.00,
