SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
533022,20 MICRONS  ,B ,Q,83.00,83.00,81.20,81.75,81.20,81.75,364,102708,8432518.00,
526921,21ST CEN.MGM,T ,Q,8.70,8.70,8.06,8.66,8.66,8.48,15,2705,22722.00,
532628,3I INFOTECH ,B ,Q,13.00,16.15,13.00,15.95,15.95,15.90,613,337618,5409379.00,
523395,3M INDIA LTD,B ,Q,4250.00,4390.00,4250.00,4365.25,4390.00,4254.25,118,452,1965814.00,
961743,793REC22    ,F ,B,921.60,994.99,921.60,993.71,993.71,988.55,36,4900,4844966.00,
590116,7SEAS TECH  ,B ,Q,36.00,37.70,35.40,36.35,37.70,36.40,7,230,8359.00,
961732,810IRFC2327 ,F ,B,1002.00,1004.00,1002.00,1003.48,1004.00,1000.97,57,10355,10384852.00,
961744,812REC27    ,F ,B,980.50,990.00,979.00,989.70,989.70,979.32,501,108373,106753467.00,
961727,820NHAI22   ,F ,B,1030.00,1035.50,1029.00,1035.27,1035.50,1029.10,48,8508,8793836.00,
961729,820PFC2022  ,F ,B,1021.00,1029.95,1021.00,1029.71,1029.95,1021.88,43,3849,3945842.00,
961728,830NHAI27   ,F ,B,1033.00,1039.00,1033.00,1038.27,1038.49,1036.03,47,14551,15108318.00,
961730,830PFC2027  ,F ,B,1015.00,1024.00,1015.00,1022.00,1021.99,1020.84,75,22995,23479394.00,
961731,8IRFC230222 ,F ,B,1013.90,1020.00,1013.00,1020.00,1020.00,1011.87,31,2217,2253569.00,
512161,8KMILES     ,T ,Q,57.30,57.30,54.00,54.30,55.00,54.65,33,8066,446793.00,
530499,A.K.CAPITAL ,B ,Q,156.00,159.00,154.95,157.95,157.95,158.70,113,6360,996865.00,
500009,A.SARABHAI  ,B ,Q,4.05,4.25,4.05,4.10,4.10,4.07,23,7130,29131.00,
533292,A2ZMES      ,B ,Q,117.20,119.70,113.80,114.40,114.40,115.90,1528,95940,11196060.00,
530027,AADI INDUS L,B ,Q,5.37,5.40,4.99,5.27,5.32,5.25,62,69812,352342.00,
533412,AANJANEYA   ,B ,Q,516.90,533.90,515.05,531.25,531.25,510.20,517,55785,29366087.00,
524412,AAREY DRUGS ,B ,Q,15.12,15.73,15.00,15.07,15.05,15.00,12,772,11611.00,
524348,AARTI DRUGS ,B ,Q,107.50,110.40,107.50,109.15,109.20,108.15,50,2421,264712.00,
524208,AARTI INDUST,B ,Q,65.80,66.00,65.00,65.40,65.10,64.70,216,10409,680880.00,
514274,AARVEE DENIM,B ,Q,35.00,35.85,34.50,34.55,34.50,35.70,14,560,19658.00,
523204,ABAN OFFSHO ,B ,Q,429.25,439.90,425.05,429.65,429.65,427.30,4083,121742,52650382.00,
700099,ABANOFFSH   ,B ,P,623.52,623.52,415.69,430.00,430.00,519.60,3,20,9496.00,
500002,ABB LTD.    ,A ,Q,820.50,840.00,820.50,835.95,837.00,822.85,416,5545,4628537.00,
500488,ABBOTT (I)  ,B ,Q,1619.90,1660.00,1580.05,1644.00,1644.00,1609.20,736,10319,16959409.00,
