SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
533292,A2ZMES      ,B ,Q,117.2,119.7,113.8,114.4,114.4,115.9,1528,95940,11196060,
530027,AADI INDUS L,B ,Q,5.37,5.4,4.99,5.27,5.32,5.25,62,69812,352342,
533412,AANJANEYA   ,B ,Q,516.9,533.9,515.05,531.25,531.25,510.2,517,55785,29366087,
524412,AAREY DRUGS ,B ,Q,15.12,15.73,15,15.07,15.05,15,12,772,11611,
524348,AARTI DRUGS ,B ,Q,107.5,110.4,107.5,109.15,109.2,108.15,50,2421,264712,
524208,AARTI INDUST,B ,Q,65.8,66,65,65.4,65.1,64.7,216,10409,680880,
514274,AARVEE DENIM,B ,Q,35,35.85,34.5,34.55,34.5,35.7,14,560,19658,
523204,ABAN OFFSHO ,B ,Q,429.25,439.9,425.05,429.65,429.65,427.3,4083,121742,52650382,
700099,ABANOFFSH   ,B ,P,623.52,623.52,415.69,430,430,519.6,3,20,9496,
500002,ABB LTD.    ,A ,Q,820.5,840,820.5,835.95,837,822.85,416,5545,4628537,
500488,ABBOTT (I)  ,B ,Q,1619.9,1660,1580.05,1644,1644,1609.2,736,10319,16959409,
513119,ABC GAS INT ,T ,Q,7.68,7.68,7.68,7.68,7.68,7.32,1,200,1536,
532937,ABC PAPER   ,T ,Q,26.85,28.9,26.85,28.9,28.9,27.55,2,114,3265,
500057,ABCIL       ,B ,Q,80.2,82.9,80.05,80.8,80.8,80.05,74,751,60373,
520155,ABG INFRALOG,B ,Q,211.75,211.75,195.1,196.8,195.1,198,42,1860,369751,
532682,ABG SHIPYARD,B ,Q,392,392.65,386,389.65,391,391.1,210,4922,1920936,
532831,ABHI CORP LT,B ,Q,7.95,7.95,7.65,7.65,7.65,7.92,3,40,309,
526955,ABL BIO-TECH,B ,Q,5.33,5.33,5.33,5.33,5.33,5.1,1,1,5,
531161,ABM KNOWLEDG,B ,Q,82,82,81.25,81.35,81.25,83.45,4,200,16268,
532974,ABML        ,B ,Q,15.3,15.3,14.41,15,15.19,14.22,17,2135,32333,
500410,ACC LTD     ,A ,Q,1255,1281,1240,1276.75,1276.75,1236.65,2293,38576,48726990,
532774,ACCEL FRONTL,B ,Q,35.4,35.4,35.1,35.4,35.4,35.4,4,165,5830,
517494,ACCEL TRANS ,B ,Q,10.15,10.9,10.15,10.9,10.9,10.26,2,2000,21050,
531897,ACCENT TECH ,B ,Q,68,70,67.6,68,68,68.15,74,16266,1118541,
530513,ACCURATE TRA,T ,Q,49.2,49.2,49.2,49.2,49.2,51.75,3,200,9840,
530093,ACE INDIA LT,B ,Q,18.4,20.1,18.25,18.95,20.1,19.2,12,4120,76382,
517356,ACI INFOCOM ,T ,Q,79.8,82.9,79,82.9,82.9,82.9,10,450,36403,
530901,ACIL        ,B ,Q,0.33,0.33,0.33,0.33,0.33,0.32,16,99636,32879,
530043,ACKNIT IND  ,B ,Q,24.9,25,24.7,24.75,24.7,25.95,30,6449,159810,
533330,ACROPET TEC ,B ,Q,14.25,14.7,14.25,14.38,14.5,14.22,131,20025,290144,
524091,ACRYCIL LTD.,B ,Q,92,102.5,92,97.95,97.95,96.5,7,155,14745,
532762,ACTION CONST,B ,Q,31.25,31.45,31,31.2,31,31.3,66,7940,248690,
511706,ACTION FIN. ,T ,Q,38,39.25,37.5,37.5,37.5,37.45,4,2160,81957,
512599,ADANI ENTER ,A ,Q,310,315,308.5,310,310,307.45,2863,117191,36558361,
532921,ADANI PORTS ,A ,Q,130,132,127.9,128.65,128.65,127.3,1268,87805,11367533,
533096,ADANI POWER ,A ,Q,71.5,72.7,71,71.45,71.45,70.9,2592,404789,29078919,
523411,ADCINDIA    ,B ,Q,141.95,142.6,139.75,140,140,138.45,39,8419,1182363,
519183,ADF FOODS LT,B ,Q,46.75,50.4,46.75,49.85,49.7,50,176,1036,50962,
532727,ADHUNIK MET ,B ,Q,44,44.05,42.85,43.15,43.15,43.7,299,30423,1326576,
